Timestamp,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],VM,weekday,weekend,month,day,CPU usage prev,CPU_diff,received_prev,received_diff,transmitted_prev,transmitted_diff
2013-06-30 22:00:00,7000420415400,14040,38120181.256873,1677021.6603390083,19372.219543650794,48711881694.933334,1855677395.9619048,702984.9641025641,419335.8554945055,183190.94102564102,342367.5474358974,1292280,30600,5100.0,30600,153000,19343.628869047618,26.707341269841315,179731.5838827839,3454.9571428571435,326030.25695970695,16337.15714285714
2013-06-30 23:00:00,7000438772425,14040,38120181.240218,1817519.4599896448,21302.382629870128,48712146865.73333,1805727062.7238095,912397.3134310135,597281.8086080586,242444.9791208791,408352.4402930403,1292280,30600,5100.0,30600,153000,21076.695129870128,225.68750000000003,241262.31245421246,1182.6666666666665,408959.50695970695,-607.066666666665
2013-07-01 00:00:00,7000457135400,14040,38120181.226202,1719935.683659855,19897.29806998557,48712309021.6,1742155201.1333332,967012.896969697,1122391.307883783,279554.2502164502,479341.7683982684,1292280,0,0.0,35700,5100,20141.97654220779,-244.67847222222227,277536.6502164502,2017.5999999999992,473957.90173160174,5383.866666666667
2013-07-01 01:00:00,7000475496903,14040,38120181.235048,1649799.219038812,19546.600496031744,48712776149.6,1724193225.8666666,1628856.2095238096,940304.9785714286,221960.78333333333,486785.55,1292280,0,0.0,35700,5100,19328.684523809523,217.91597222222225,225730.98333333334,-3770.2,480794.4166666667,5991.133333333336
2013-07-01 02:00:00,7000493860500,14040,38120181.244132,1731963.073912031,20524.195405982908,48713605982.13333,1782728594.6051283,1413094.0122294372,1108243.9534798535,194033.99047619046,347217.57380952383,1292280,0,0.0,35700,5100,20509.355128205127,14.840277777777763,193461.19047619047,572.7999999999994,362464.4404761905,-15246.866666666669
2013-07-01 03:00:00,6966195995375,13972,37938165.303455,1667130.2185843452,19924.128983516483,48418134655.2,1728609262.8,813497.5642857143,805343.9459706959,298718.36190476187,354054.5904761905,1289502,0,0.0,35525,5075,20037.208050976802,-113.07906746031748,287468.7047619048,11249.657142857148,354818.3333333333,-763.7428571428555
2013-07-01 04:00:00,7000530584750,14040,38120181.296621,1626905.9354424246,19159.747252747253,48714162386.13333,1699943619.141392,2022024.2496336997,595157.2765567765,184875.67838827838,343837.2010989011,1292280,0,0.0,35700,5100,19235.034851953602,-75.28759920634917,197746.4021978022,-12870.72380952381,339934.1249084249,3903.0761904761907
2013-07-01 05:00:00,6963487236138,13887,37709727.424036,1592491.0142868303,19056.996527777777,48209385291.2,1748727978.704762,672846.3857142858,417834.02454212453,189932.7912087912,343707.5483516484,1289118,0,0.0,35511,5073,19082.075496031746,-25.07896825396827,187847.1912087912,2085.6000000000013,341944.215018315,1763.3333333333335
2013-07-01 06:00:00,6977232081231,13962,37908639.348862,1621074.3509571445,19347.343625124875,48564894892.8,1730984661.1809523,601374.4642857143,341198.86794871796,175795.84761904762,263894.6802197802,1289248,0,0.0,35581,5083,19122.16396242646,225.1796626984127,176488.84761904762,-693.0000000000007,284614.0802197802,-20719.4
2013-07-01 07:00:00,7000585671125,14040,38120181.252963,1923473.6342121908,19881.04552808303,48714780155.46667,1972366215.7714286,611093.4047619047,389450.55622710625,163821.5119047619,195246.38095238095,1292280,0,0.0,35700,5100,19936.405547924296,-55.36001984126982,169150.0119047619,-5328.500000000001,194445.8333333333,800.5476190476211
2013-07-01 08:00:00,7000604032825,14040,38120181.254395,2919915.608464815,25434.636507936506,48715184185.98095,2305530177.4,507990.34285714285,357525.0517815518,184405.38644688643,244000.9293040293,1292280,0,0.0,35700,5100,24991.93343253968,442.70307539682534,183569.88644688643,835.5000000000008,244029.01025641026,-28.08095238095119
2013-07-01 09:00:00,7000622392825,14040,38120181.266352,2639690.390815566,25340.92471764347,48716298484.53333,2248822274.8483515,1079340.15,616580.2181845931,287637.6333333333,526937.0222222222,1292280,0,0.0,35700,5100,24578.083050976802,762.8416666666667,256048.76666666666,31588.866666666665,414356.6222222222,112580.4
2013-07-01 10:00:00,7000640755800,14040,38120181.257508,4034221.6429734523,31774.43870851371,48716676120.26667,2956787876.7873015,678575.4844988345,815831.7845737595,550308.4316183816,1032929.2787545788,1292280,0,0.0,35700,5100,32444.46708152958,-670.0283730158731,504731.9271894772,45576.50442890443,990193.7999666999,42735.47878787878
2013-07-01 11:00:00,7000659117303,14040,38120181.258978,2313830.6010245094,23876.605738705737,48718081196.0,2289819235.9970694,641306.0855311356,842075.8223443223,203346.3663003663,223497.30494505493,1292280,0,0.0,35700,5100,24372.9731990232,-496.3674603174603,277830.40406260407,-74484.03776223776,376889.0503996004,-153391.74545454548
2013-07-01 12:00:00,7000677480900,14045,38132181.283235,2041862.6378038789,22605.2266996892,48718460173.45641,2165678643.214719,770898.7653846154,911097.9433399934,193455.7838855589,199477.2597097347,1292280,0,0.0,35700,5100,22495.808644133645,109.41805555555557,191001.03666333665,2454.747222222222,198491.64582084582,985.6138888888896
2013-07-01 13:00:00,7000695841750,14052,38148981.287933,2572664.905089017,25917.880257936507,48707914484.53333,2119074190.479121,458787.57182539685,884485.1428737929,266037.1493894994,292239.8823870574,1292280,0,0.0,35700,5100,24379.77876984127,1538.101488095238,243570.17353479852,22466.975854700853,272439.85012210015,19800.03226495726
2013-07-01 14:00:00,6982869261870,14021,38068381.299475,4638736.461266933,33428.699694749695,48637918254.13333,3051781677.802442,420214.44926739926,474057.99875957373,330348.94578754576,392123.190995116,1289545,0,0.0,35609,5087,33498.66021062271,-69.96051587301591,353927.7355311355,-23578.78974358974,412658.23714896216,-20535.046153846153
2013-07-01 15:00:00,7000732566000,14052,38148981.312332,4431053.70466884,33227.85997474747,48720732892.26667,2697254738.610989,447272.87164502166,455937.4158064158,292054.8042901543,370393.0883560883,1292280,0,0.0,35700,5100,34351.1198953824,-1123.2599206349207,234323.85667110668,57730.94761904762,254883.47407037407,115509.61428571428
2013-07-01 16:00:00,7000750930675,14052,38148981.300572,3387118.043871131,29370.31746031746,48722211606.666664,2063172826.6095238,370238.1140692641,401400.64725274727,186002.91428571427,253207.13333333333,1292280,0,0.0,35700,5100,29059.223511904762,311.0939484126984,243224.79523809525,-57221.880952380954,367000.2809523809,-113793.14761904762
2013-07-01 17:00:00,7000769291100,14052,38148981.301515,2665556.754931195,24702.931082112333,48725495640.53333,1874601608.274481,336749.56112776115,403132.2459040959,129798.05772560772,185945.42057942058,1292280,0,0.0,35700,5100,25068.64358211233,-365.71250000000003,135601.79105894105,-5803.733333333333,184573.02057942058,1372.4000000000003
2013-07-01 18:00:00,7000787651100,14052,38148981.300526,2828377.9686051235,26508.128869047618,48728601670.933334,1895643785.0857143,511643.47662337666,358910.51638361637,239061.10023310024,303738.883982684,1292280,0,0.0,35700,5100,26675.96984126984,-167.8409722222222,239144.90023310023,-83.79999999999878,307062.4173160173,-3323.533333333335
2013-07-01 19:00:00,7000806011100,14052,38148981.313572,2727256.532923447,25415.261623099123,48729436365.066666,1819150538.4780552,355649.0827172827,345149.304995005,132295.23896103897,207549.25324675324,1292280,0,0.0,35700,5100,25064.544261988012,350.7173611111111,129420.77229437229,2874.4666666666667,202194.25324675324,5355.0
2013-07-01 20:00:00,7000824376200,14052,38148981.300162,2833081.3613144616,26575.581677350427,48730094032.8,1952760624.2666667,453212.43333333335,501752.27344322344,159622.28095238094,166068.88095238095,1292280,0,0.0,35700,5100,26363.354594017095,212.2270833333333,154654.48095238095,4967.800000000002,169074.94761904763,-3006.066666666666
2013-07-01 21:00:00,7000842736200,14052,38148981.288228,3069166.107920184,28723.869246031747,48730632782.933334,2011205188.980586,420861.379029304,513184.5093573094,290852.78714618715,156057.7615051615,1292280,0,0.0,35700,5100,29258.708829365078,-534.8395833333333,295618.6538128538,-4765.866666666667,159907.89483849483,-3850.133333333334
2013-07-01 22:00:00,6980270351705,14003,38017343.271127,2821595.013766692,27615.770835414587,48470924812.53333,2095301982.408325,514811.5233433233,722963.1494338994,168923.6077755578,216193.72956210456,1290284,0,0.0,35595,5085,27292.297238872237,323.47359654234657,167954.0501998002,969.5575757575766,205894.17198634698,10299.557575757575
